date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:23	94324/94324	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2022:35:22%20GMT	https://www.marlonmarquis.com.br/fabrica-de-viradas	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/www.marlonmarquis.com.br/fabrica-de-viradas.html	(from )
19:35:23	143/143	---MCZ	200	added ('OK')	text/plain	date:Thu,%2005%20Sep%202024%2022:35:23%20GMT	https://www.marlonmarquis.com.br/robots.txt		(from )
19:35:24	4217/4217	---M--	200	added ('OK')	image/jpeg	etag:%22ad039881bf6c7d90de29fa2912a26ecb%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/4610-834b5a20dfc4047fd93721421d725ede.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas/4610-834b5a20dfc4047fd93721421d725ede.jpg	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:24	15883/15883	---M--	200	added ('OK')	image/jpeg	etag:%22d07d04f7905c6c09714ce84ca0d902e0%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/4610-b25e260339cd231bda3ee0802b926ac1.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas/4610-b25e260339cd231bda3ee0802b926ac1.jpg	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:25	31738/31738	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2022:35:25%20GMT	https://www.marlonmarquis.com.br/	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/www.marlonmarquis.com.br/index.html	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:26	32321/32321	---MCZ	200	added ('OK')	text/css	etag:W/%22aa023e9b5821afcbdf7acbc8a9162565%22	https://cdn.greatpages.com.br/www.marlonmarquis.com.br-fabrica-de-viradas/1723060372/css.css	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatpages.com.br/www.marlonmarquis.com.br-fabrica-de-viradas/1723060372/css.css	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:27	190824/190824	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218fe866340a075e5c6b065105b7c1453%22	https://cdn.greatpages.com.br/www.marlonmarquis.com.br-fabrica-de-viradas/1723060372/js.js	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatpages.com.br/www.marlonmarquis.com.br-fabrica-de-viradas/1723060372/js.js	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:30	1625447/1625447	---M--	200	added ('OK')	image/png	etag:%22d9ace6301e665f804b4eff526ffe5e64%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-bec703a185980ef26b857f82a45e260b.png	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-bec703a185980ef26b857f82a45e260b.png	(from https://www.marlonmarquis.com.br/fabrica-de-viradas)
19:35:32	13341/13341	---M--	200	added ('OK')	image/png	etag:%2252182eaf2c5395cf4b499db0c30f796b%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-563cc1161662d48df446c6bdbc3da42a.png	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-563cc1161662d48df446c6bdbc3da42a.png	(from https://www.marlonmarquis.com.br/)
19:35:35	205853/205853	---M--	200	added ('OK')	image/jpeg	etag:%225c5177f88e097a93d1fd4e4a1bc42fb5%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-17bdb646a77b77ed9abd78f2d2f7c116.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-17bdb646a77b77ed9abd78f2d2f7c116.jpg	(from https://www.marlonmarquis.com.br/)
19:35:46	339319/339319	---M--	200	added ('OK')	image/jpeg	etag:%22815b71f51a306d3e07fc69bfd851530d%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-7e91a1d2da94c01b88230a631379b2f3.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-7e91a1d2da94c01b88230a631379b2f3.jpg	(from https://www.marlonmarquis.com.br/)
19:35:46	311832/311832	---M--	200	added ('OK')	image/jpeg	etag:%226a79c47d7f115b9fc0df4df46f296644%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-d6df2beca8b6c45f98e2a0da1f3a557d.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-d6df2beca8b6c45f98e2a0da1f3a557d.jpg	(from https://www.marlonmarquis.com.br/)
19:35:46	181472/181472	---M--	200	added ('OK')	image/jpeg	etag:%224502a6d4f18880ec471e650a6a48c0ca%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-ddfcfb822cce08e5741d7d75b610083e.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-ddfcfb822cce08e5741d7d75b610083e.jpg	(from https://www.marlonmarquis.com.br/)
19:35:47	11858/11858	---M--	200	added ('OK')	image/png	etag:%225ee434675315a3b84ae46dc9df0559f1%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-b1ea1106e11f09a8d1523b139a29b498.png	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-b1ea1106e11f09a8d1523b139a29b498.png	(from https://www.marlonmarquis.com.br/)
19:35:49	115723/115723	---M--	200	added ('OK')	image/jpeg	etag:%228019c5307392ad7864e0d573e730e3c4%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-16d58b4e3c6d317460084c3c6e25aa53.jpg	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatsoftwares.com.br/arquivos/paginas_editor/4610-16d58b4e3c6d317460084c3c6e25aa53.jpg	(from https://www.marlonmarquis.com.br/)
19:35:50	23778/23778	---MCZ	200	added ('OK')	text/css	etag:W/%22d4dfcc69a18267eb6229877cb4ff1fb7%22	https://cdn.greatpages.com.br/www.marlonmarquis.com.br/1724344597/css.css	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatpages.com.br/www.marlonmarquis.com.br/1724344597/css.css	(from https://www.marlonmarquis.com.br/)
19:35:51	87547/87547	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272a0aaf40fc394f8fd911a50561783fe%22	https://cdn.greatpages.com.br/www.marlonmarquis.com.br/1724344597/js.js	C:/Users/jobsd/Documents/HTTrack/fabrica%20de%20viradas/cdn.greatpages.com.br/www.marlonmarquis.com.br/1724344597/js.js	(from https://www.marlonmarquis.com.br/)
